customer_id,tipo_identificacion,identificacion,nombre,apellido,fecha_nacimiento,email,telefono,direccion,fecha_creacion,estado_cliente
Cus001,RUC,1719766840,Lucía,Gómez,25-06-1956,lucia.gomez1@testmail.com,0981696124,Calle Falsa 123,27/08/2024 07:09:37,INACTIVO
Cus002,PASAPORTE,1731232771,Carlos,Mora,25-08-1953,carlos.mora2@testmail.com,0971991372,Calle Falsa 123,22/07/2024 07:09:37,INACTIVO
Cus003,CEDULA,1720048444,Lucía,López,23-10-1972,lucia.lopez3@testmail.com,0959573149,Calle Falsa 123,08/02/2026 07:09:37,ACTIVO
Cus004,PASAPORTE,1750394882,Juan,Pérez,02-11-1946,juan.perez4@testmail.com,0987899608,Calle Falsa 123,15/08/2025 07:09:37,INACTIVO
Cus005,CEDULA,1700811787,Pedro,Pérez,21-05-1964,pedro.perez5@testmail.com,0975116233,Calle Falsa 123,01/02/2026 07:09:37,ACTIVO
Cus006,CEDULA,1733912040,Carlos,Torres,27-06-1968,carlos.torres6@testmail.com,0907357669,Calle Falsa 123,22/07/2024 07:09:37,INACTIVO
Cus007,PASAPORTE,1750335737,Luis,Vera,06-08-1967,luis.vera7@testmail.com,0943898899,Calle Falsa 123,02/09/2024 07:09:37,INACTIVO
Cus008,PASAPORTE,1738964822,Lucía,Mora,12-06-1940,lucia.mora8@testmail.com,0908108773,Calle Falsa 123,07/08/2024 07:09:37,INACTIVO
Cus009,RUC,1751761204,Juan,Pérez,06-06-1955,juan.perez9@testmail.com,0982539233,Calle Falsa 123,13/03/2026 07:09:37,ACTIVO
Cus010,CEDULA,1722777461,Ana,Torres,13-04-1954,ana.torres10@testmail.com,0906666385,Calle Falsa 123,03/02/2026 07:09:37,ACTIVO
Cus011,RUC,1715434526,Pedro,Gómez,30-08-1974,pedro.gomez11@testmail.com,0986939212,Calle Falsa 123,31/05/2024 07:09:37,INACTIVO
Cus012,PASAPORTE,1714656517,Pedro,Gómez,18-07-2004,pedro.gomez12@testmail.com,0948778438,Calle Falsa 123,08/01/2026 07:09:37,ACTIVO
Cus013,CEDULA,1713305801,Pedro,Ramírez,31-03-1963,pedro.ramirez13@testmail.com,0945854024,Calle Falsa 123,22/08/2024 07:09:37,INACTIVO
